CameraLabel, X, Y, Z, Roll, Pitch, Yaw, RotX, RotY, RotZ
uhi_20210122_111150_1_00019,2780607.63706489,539460.7081090003,5695520.1113659935,-3.371317682242399,3.497904402150014,148.68148447439106,160.8486988276677,10.127043421658607,-49.271119820933464
uhi_20210122_111150_1_00020,2780607.6568015977,539460.7312755052,5695520.09375526,-3.360769537674481,3.4891560891301423,148.65063989096683,160.84632218355227,10.149035236034898,-49.24527507427078
uhi_20210122_111150_1_00021,2780607.680734761,539460.7570081427,5695520.07545377,-3.3284111885733805,3.3896226052798855,148.59227440200823,160.75908433534158,10.203935218828486,-49.19587824642362
uhi_20210122_111150_1_00022,2780607.70649294,539460.7856590973,5695520.058162875,-3.3749728470207536,3.3837226621178007,148.49270972755843,160.77833315664577,10.19832069989528,-49.086743770501315
uhi_20210122_111150_1_00023,2780607.735825299,539460.8164920142,5695520.040901793,-3.3908569653481084,3.3262835123234744,148.36268703367023,160.75176963746222,10.234311663729496,-48.95641032787249
uhi_20210122_111150_1_00024,2780607.7673421223,539460.8500430427,5695520.024864483,-3.427370392907709,3.2815377156508285,148.21343024382125,160.7434645587881,10.257884418585755,-48.80180254922383
uhi_20210122_111150_1_00025,2780607.8001323976,539460.8845724727,5695520.009773679,-3.382084352546945,3.369169386196731,148.0566336197063,160.86293123451424,10.358909883493707,-48.67498362146119
uhi_20210122_111150_1_00026,2780607.834494544,539460.9206706326,5695519.994205838,-3.3584021593348856,3.4226676953826867,147.87703259196743,160.95532324560116,10.448851837160397,-48.51745849960483
uhi_20210122_111150_1_00027,2780607.8707749774,539460.958767243,5695519.978773529,-3.3365793905687364,3.4354698997185267,147.71703454409948,161.00331235631617,10.530249837551404,-48.37528602877376
uhi_20210122_111150_1_00028,2780607.9072504938,539460.9969943472,5695519.963989953,-3.3235593673519523,3.5135493583067854,147.54876322002102,161.11839884605965,10.605161434474777,-48.22597777843007
uhi_20210122_111150_1_00029,2780607.944378659,539461.0359265709,5695519.947996549,-3.3251158849705558,3.489568301275506,147.4369271036267,161.12064010705058,10.646663119948549,-48.11909161260386
uhi_20210122_111150_1_00030,2780607.981812637,539461.075239863,5695519.931353829,-3.3165234412118267,3.4844894117744065,147.28504033358882,161.1503258790062,10.712567859329178,-47.97892876355023
uhi_20210122_111150_1_00031,2780608.020140347,539461.117083028,5695519.913556159,-3.3280771443239288,3.452200227337994,147.13227994992732,161.15472022439735,10.760160516118901,-47.82973633354839
uhi_20210122_111150_1_00032,2780608.0601291903,539461.1612797139,5695519.894114175,-3.315278276407023,3.404890277806683,146.97234253169867,161.14462147263868,10.833706893649378,-47.68089774612042
uhi_20210122_111150_1_00033,2780608.100172035,539461.206581498,5695519.875635465,-3.3061863355318075,3.478264896210941,146.81499129924308,161.2535233890261,10.900425630632835,-47.53991584780658
uhi_20210122_111150_1_00034,2780608.143152057,539461.2536417458,5695519.8578863,-3.203692552614885,3.53012029200698,146.71739223337835,161.321393563053,11.03341012493206,-47.48436693994512
uhi_20210122_111150_1_00035,2780608.184632194,539461.3015010114,5695519.84095139,-3.178532002880313,3.638710276951166,146.68062321867444,161.43580781353668,11.06920165584374,-47.46375853965276
uhi_20210122_111150_1_00036,2780608.2274582167,539461.3483376682,5695519.823236801,-3.059160580647533,3.7012673094648876,146.6206775009968,161.50433270685346,11.203924874170758,-47.44922961714892
uhi_20210122_111150_1_00037,2780608.272033658,539461.3974616363,5695519.806400614,-3.002197660531695,3.758706007227129,146.52841729029743,161.5793637211272,11.29179732033374,-47.383577541876114
uhi_20210122_111150_1_00038,2780608.316649365,539461.4467580536,5695519.788058315,-2.990222341131135,3.8303062443299103,146.44030582634028,161.6702972419705,11.33519356299667,-47.30795071329833
uhi_20210122_111150_1_00039,2780608.362694639,539461.4970472262,5695519.769179631,-3.012518194863169,3.8235311751625702,146.32377617366993,161.69272078179083,11.358016065256113,-47.19052878101955
